entity,english
棉花肾形线虫病,nan
棉花纽带线虫病,nan
棉花红(黄)叶枯病,Cotton red (yellow) leaf wilt
棉红铃虫,Pink bollworm
棉双斜卷蛾,Small cotton leaf roller
长额负蝗,nan
绿象甲,nan
赤须盲蝽,nan
棉大卷叶螟,Cotton leaf roller
焦条丽夜蛾,nan
粉纹夜蛾,Cabbage looper
鼎点金刚钻,Cotton green moth
翠纹金刚钻,Spiny bollworm
棉茎木蠹蛾,Red coffee borer
棉盲蝽,Cotton mirids
棉红蝽,cotton bug，oriental cotton stainer，cotton stainer，red cotton bug
棉蚜,Cotton aphid
棉长管蚜,big cotton aphid
棉黑蚜,nan
棉根蚜,Bean root aphid
棉小卵象,nan
棉尖象,Chinese cotton weevil
锦葵丽夜蛾,nan
星白灯蛾,Red-belly black-dotted arctud
棉四点叶甲,Monolepta signata Olivier
棉苗小象,nan
苜蓿盲蝽,Alfalfa plant bug
牧草盲蝽,Tarnished plant bug
中黑盲蝽,nan
黄肩绿蝽,nan
薄球蜗牛,nan
亚麻假黑斑病,nan
亚麻斑点病,Flax pasmo
亚麻炭疽病,Flax anthracnose
亚麻菌核病,Flax sclertiniose
亚麻、胡麻白粉病,Flax powdery mildew
亚麻、胡麻锈病,Flax rust
亚麻、胡麻立枯病,Flax soreshin
亚麻、胡麻枯萎病,Fusarium wilt disease of flax
红麻、黄麻立枯病,Kenaf soreshin
红麻炭疽病,Kenaf anthracnose
红麻斑点病,Kenaf brown leaf spot
红麻根结线虫病,Kenaf root knot nematode
红麻叶霉病,Kenaf yellow leaf spot
红麻灰霉病,Kenaf graymold
红麻腰折病,nan
黄麻根腐病,Jute root rot
黄麻细菌性斑点病,Jute bacterial blight disease
黄麻根结线虫病,Jute root knot nematode
黄麻桥夜蛾,Jute semi-looper
大麻白斑病,Hemp white spot
大麻霜霉病,Hemp downy mildew
大麻霉斑病,nan
大麻白星病,Hemp white scab
大麻小食心虫,Hemp borer
大麻跳甲,nan
麻天牛,hemp longicorn beetle
苎麻炭疽病,Ramie anthracnose
苎麻褐斑病,Ramie brown spot
苎麻角斑病,Ramie angular leaf spot
苎麻疫病,Ramie phytophthora blight
苎麻茎腐病,Ramie stem rot
苎麻白纹羽病,Ramie Rosellinia root rot
苎麻青枯病,nan
苎麻花叶病,Ramie mosaic virus
苎麻根腐线虫病,nan
苎麻赤蛱蝶,Indian painted lady
大豆霜霉病,Soybean downy mildew
苎麻黄蛱蝶,nan
苎麻夜蛾,nan
苎麻天牛,nan
大豆锈病,Soybean rust
大豆枯萎病,Young soya bean Fusarium wilt
大豆疫霉根腐病,Soybean Phytophthora root rot
大豆紫斑病,Soybean cercospora spot
大豆灰斑病,Soybean frogeye leaf spot
大豆耙点病,Soybean target spot
大豆褐斑病,Soybean brown spot
大豆立枯病,Soybean soreshin blight
大豆纹枯病,Soybean hypochnus blight
大豆羞萎病,Soybean sleeping blight
大豆黑痘病,Soybean scab
大豆轮纹病,Soybean zonate spot
大豆荚枯病,Soybean pod blight
大豆根结线虫病,Soybean root-knot nematode
大豆棕色叶斑病,nan
大豆疫病,Young soya bean Phytophthora blight
大豆炭疽病,Soybean anthracnose
大豆菌核病,Soybean Sclerotium disease
大豆茎枯病,nan
大豆黑点病,Black spot of soybean
大豆细菌性斑点病,Soybean bacterial blight
大豆细菌性斑疹病,Bacterial pustules of soybean
大豆花叶病毒病,Soybean mosaic
大豆顶枯病,nan
大豆胞囊线虫病,Soybean cyst nematode
大豆菟丝子,Soybean dodder
大豆叶斑病,Young soya bean leaf spot
大豆褐纹病,nan
大豆赤霉病,Young soya bean Fusarium blight
大豆白粉病,Young soya bean powdery milde
大豆根腐病,Young soya bean Fusarium root rot
大豆黑斑病,Soybean alternaria leaf spot
大豆灰星病,nan
大豆菌核疫病,Young soya bean Sclerotium rot
大豆煤斑病,Young soya bean sooty blotch
大豆缺钾,Soybean potassium defi ciency
豆卷叶野螟,bean webworm
豆荚野螟,Bean pod borer
豆天蛾,Greenish brown hawk moth
焰夜蛾,Rose budworm
大豆食心虫,soybean pod borer
豆灰蝶,Silver-studded blue
大豆蚜,Soybean aphid
红背安缘蝽,Red-back bug
豆根蛇潜蝇,soybean root miner
豆芫菁,nan
二条叶甲,Two-striped leaf beetle
豆叶东潜蝇,soybean leafminer
斑背安缘蝽,nan
花生褐斑病,Peanut brown spot
粟负泥甲,nan
玉米异跗萤叶甲,nan
柳蓝叶甲,imported willow leaf beetle
玉米铁甲,nan
玉米蚜,Corn leaf aphid
黍蚜,bird cherry-oat aphid
玉米黄呆蓟马,Grass thrips
禾蓟马,nan
粟缘蝽,hyaline grass bug
高粱大斑病,Sorghum northern leaf blight
高粱锈病,Rust of sorghum
高粱叶点病,nan
高粱豹纹病,Sorghum zonate leaf spot
高粱炭疽病,Sorghum anthracnosis
高粱煤纹病,Sorghum sooty stripe
高粱立枯病,Sorghum Rhizoctonia rot
高粱丝黑穗病,Sorghum silk smut
高粱散黑穗病,Sorghum loose kernel smut
高粱坚黑穗病,Sorghum hard smut
高粱柱黑粉病,nan
高粱镰刀菌穗腐病,Sorghum Fusarium stalk rot
高粱紫斑病,Sorghum purple spot
高粱纹枯病,nan
高粱紫轮病,Sorghum Ramulispora leaf spot
高粱苗枯病,Sorghum seedling blight
高粱根腐病,Sorghum root rot
高粱黑束病,Sorghum black bundle
高粱炭腐病,Sorghum charcoal rot
高粱颖枯病,Sorghum Penicillium ear 
高粱长粒黑穗病,Sorghum long smut
高粱花黑穗病,Sorghum smut
高粱细菌性条纹病,Sorghum bacterial leaf stripe
高粱细菌性红条病,nan
高粱细菌性斑点病,Bacterial leaf spot of sorghum
高粱矮花叶病,Sorghum red stripe
高粱花叶病,Sorghum mosaic
粟穗螟,nan
桃蛀野螟,"yellow peach moth，Peach pyralid moth,cone moth"
小穗螟,Spikelet borer
高粱舟蛾,Sorghum anachoreta
黏虫,armyworm
粟凹胫跳甲,nan
粟鳞斑叶甲,Millet squamous leaf beetle
高粱芒蝇,sorghum shoot fly
高粱根蚜,elm gall aphid
高粱长蝽象,Blissus pallipes
条沙叶蝉,nan
谷类大蚊,nan
东亚飞蝗,Asiatic migratory locust
粟白发病,Millet downy mildew
粟瘟病,Millet blast
粟黑鞘病,Millet black sheath
粟锈病,Millet rust
粟纹枯病,Millet sheath blight
粟粒黑穗病, Millet kernel smut
粟细菌性褐斑条斑病,Millet bacterial brown spot
粟红叶病,Millet red leaf
粟粒线虫病,Millet nematode sterile
粟苗枯病,Maize seedling blight
粟胡麻斑病,Millet Bipolaris leaf spot
粟灰斑病,Millet Cercospora leaf spot
粟叶斑病,Millet Phyllosticta leaf spot
粟假黑斑病,nan
粟条点病,nan
粟黑粉病,Millet smut
粟墨黑粉病,Millet kernel smut
粟细菌性条斑病,nan
甘薯疮痂病,Sweet potato scab
甘薯茎螟,sweet potato vine borer
甘薯黑斑病,Sweet potato black rot
甘薯软腐病,Soft rot of sweet potato
甘薯枯萎病,Sweet potato fusarium wilt
甘薯瘟病,Sweet potato bacterial wilt
甘薯根腐病,Sweet potato root rot
甘薯紫纹羽病,Sweet potato violet root rot
甘薯病毒病,Sweet potato viral diseases
甘薯丛枝病,Sweet potato witches’broom 
甘薯茎线虫病,Sweet potato stem nematode disease
甘薯黑痣病,Sweet potato black scurf
甘薯蚁象甲,sweetpotato weevil
甘薯蜡龟甲,nan
甘薯绮夜蛾,nan
棉苗猝倒病,Cotton damping～off
棉苗立枯病,Cotton soreshin
棉花炭疽病,Cotton anthracnose
棉花红腐病,Fusarium rot of cotton
棉黑根腐病,Cotton black root rot
棉花枯萎病,Cotton fusarium wilt disease
棉花黄萎病,Cotton verticillium wilt
棉花疫病,Cotton fhytophthora blight
棉铃曲霉病,Cotton Aspergillus boll rot
棉花茎枯病,Ascochyta blight of cotton
棉铃黑果病,Cotton diplodia boll rot
棉铃红粉病,Cotton pinkboll rot
棉铃软腐病,Cotton rhizopus boll rot
棉铃灰霉病,Cotton boll graymold
棉花褐斑病,Cotton brown spot
棉花叶烧病,Cotton brown spot
棉花轮纹病,Cotton black leaf spot
棉花角斑病,Cotton angular leaf spot
棉花根结线虫病,Cotton root knot nematode
小麦管蓟马,Haplothrips tritici
西北麦蝽,nan
麦根蝽,Stibaropus formosanus
麦圆蜘蛛,nan
麦长腿蜘蛛,Petrobia Latens
秀夜蛾,Amphipoea fucosa
麦穗夜蛾,wheat earworm
小麦吸浆虫,wheat blossom midge
麦秆蝇,Wheat bulb-worm
黑麦秆蝇,Wheat black bulb-worm
麦黑斑潜叶蝇,Grass sheath miner
麦茎谷蛾,nan
麦叶蜂,Wheat sawfly
绿翅脊萤叶甲,nan
大麦条锈病,Barley stripe rust
大麦网斑病,Barley net blotch
大麦条纹病,Barley stripe disease
大麦坚黑穗病,Barley covered smut
大麦散黑穗病,Barley loose smut
大麦叶锈病,Barley leaf rust
麦长管蚜,nan
麦二叉蚜,Green bug
麦双尾蚜,Diuraphis noxia
麦茎蜂,wheat stem sawfly
十四点负泥虫,nan
玉米大斑病,Corn northern leaf blight
玉米小斑病,Corn southern leaf blight
玉米弯孢霉叶斑病,Corn Curvularia leaf spots
玉米灰斑病,Maize gray leaf spot
玉米镰刀菌苗枯病,nan
黄麻苗枯病,Jute seedling blight
黄麻黑点炭疽病,nan
黄麻叶枯病,Jute leaf blight
黄麻茎腐病,Jute stem rot
黄麻茎斑病,nan
玉米纹枯病,Corn sheath blight
玉米锈病,Corn rust
玉米褐斑病,Corn Brown Spot
玉米轮纹斑病,Corn zonate leaf spot
玉米疯顶病,Corn crazy
玉米茎腐病,Corn grayish-green blight
玉米圆斑病,Corn northern leaf spot
玉米干腐病,Corn downy mildew
玉米丝黑穗病,Corn head smut
玉米黑粉病,Corn smut
黄麻立枯病,Jute soreshin
黄麻炭疽病,Jute anthracnose
黄麻褐斑病,Jute brown spot
黄麻枯腐病,nan
黄麻枯萎病,Jute jusarium wilt disease
古毒蛾,rusty tussock moth，common vapourer moth
银锭夜蛾,nan
向日葵褐斑病,Sunflower brown spot
向日葵白粉病,Sunflower powdery mildew
向日葵霜霉病,Sunflower downy mildew
向日葵根茎腐病,nan
向日葵白绢病,Sunflower Sclerotiumb light
向日葵黄萎病,nan
向日葵灰霉病,Sunflower gray mold
向日葵细菌性叶斑病,Bacterial leaf spot of sunflower
向日葵细菌性茎腐病,Powdery bacterial stalk rots
向日葵根结线虫病,sunflower root knot nematode
向日葵花叶病毒病,Sunflower mosaic virus
蛞蝓,Land slug
魔芋白绢病,nan
魔芋软腐病,Elephant taro bacterial leaf blight
魔芋轮纹斑病,nan
魔芋炭疽病,nan
魔芋细菌性叶枯病,Elephant taro bacterial leaf spot
魔芋病毒病,nan
姜枯萎病,Ginger Fusarium rhizome rot
青花菜细菌性黑斑病,Broccoli bacterial black spot
葱炭疽病,Onion anthracnose
葱叶霉病,Onion Heterosporium blight
葱黑粉病,Onion smut
葱软腐病,Onion bacterial soft rot
葱黄矮病,Onion yellow dwarf
大白菜霜霉病,Chinese cabbage downy milde
大白菜白斑病,Chinese cabbage Cercosporella leaf spot
大白菜炭疽病,Chinese cabbage anthracnose
大白菜褐腐病,Chinese cabbage brown rot
大白菜黑斑病,Chinese cabbage Alternaria leaf spot
大白菜假黑斑病,Chinese cabbage black spot
青花菜白锈病,Broccoli white rust
青花菜黑胫病,Broccoli black leg
玉米条纹矮缩病,Corn streak dwarf
大白菜黑胫病,Chinese cabbage black leg
青花菜黑斑病,Broccoli black leaf spot
青花菜霜霉病,Broccoli downy milde
青花菜灰霉病,Broccoli gray mold
青花菜软腐病,Broccoli bacterial soft rot
玉米矮花叶病,Corn dwarf mosaic
玉米粗缩病,Corn rough dwarf
玉米霜霉病,Corn downy mildew
玉米眼斑病,Corn eyespot
玉米链格孢菌叶枯病,nan
玉米斑枯病,nan
玉米炭疽病,Corn anthracnose
玉米叶鞘紫斑病,Corn purple leaf sheath
玉米立枯丝核菌根腐病,nan
玉米平脐蠕孢茎基腐病,nan
玉米假黑粉病,Corn false smut
玉米赤霉病,Corn Gibberella rot
玉米种子霉烂,nan
玉米全蚀病,nan
玉米黑束病,Corn black bundle
玉米细菌性条纹病,Corn or maize bacterial stripe
玉米细菌性茎腐病,Corn bacterial stalk rots
玉米细菌萎蔫病,Corn stew art’s disease
玉米秃尖,nan
玉米花期不协调,Difference florescence in corn
白脉粘虫,nan
黄星蝗,Aularches milaris
稻瘟病,Rice blast
水稻恶苗病,Rice bakanae disease
水稻烂秧,Seed and seedling rot of rice
水稻苗疫病,Phytophthora blight of rice
水稻叶黑粉病,Rice leaf smut 
水稻云形病,Rice leaf scald Micro
水稻菌核秆腐病,Rice sclerotial stem rots
水稻黄萎病,Rice rice yellow dwarf
水稻矮缩病,Rice dwarf
水稻高温为害,Rice High-Temperature damage
水稻纹枯病,Rice sheath blight
水稻胡麻斑病,Rice brown spot
水稻东格鲁病毒病,Rice tungro
水稻倒伏,rice lodging
稻螟蛉,Rice green semilooper
稻瘿蚊,Rice gall midge。
水稻霜霉病,Downy mildew of rice
水稻叶鞘腐败病,Rice sheath rot
水稻叶鞘网斑病,Rice sheath net-blotch
水稻紫鞘病,Rice purple sheath disease
水稻窄条斑病,Rice narrow brown leaf spot
水稻叶尖枯病,nan
稻曲病,Rice false smut
稻粒黑粉病,Rice kernel smut
水稻一柱香病,Rice“1-chu-hsing”
水稻白叶枯病,Rice bacterial leaf blight
水稻细菌性条斑病,Rice bacterial leaf streak
水稻细菌性褐条病,Rice bacterial stripe
水稻细菌性褐斑病,Rice bacterial sheath rot
水稻橙叶病,Rice orange leaf
水稻茎线虫病,Rice stem nematode
台湾稻螟,Taiwan rice stem borer
褐边螟,nan
水稻细菌性基腐病,Rice bacterial foot rot
水稻颖枯病,nan
水稻条纹叶枯病,Rice stripe disease
水稻黑条矮缩病,Rice black streak dwarf
水稻干尖线虫病,Rice white tip nematode
水稻根结线虫病,Rice root-knot nematode
水稻赤枯病,Rice akagare
三化螟,Yellow stem borer
稻纵卷叶螟,Rice leaf folder
显纹稻纵卷叶螟,Japanese rice leaf roller
稻眼蝶,Rice green horned caterpillar
稻褐眼蝶,common evening brown
稻切叶野螟,nan
稻金翅夜蛾,nan
稻巢螟,lawn webworm
直纹稻弄蝶,Rice skipper
稻秆潜蝇,rice stem maggot
稻潜叶蝇,rice leaf-miner
稻黑蝽,black rice bug
大稻缘蝽,Large paddy bug
褐飞虱,Rice brown planthopper
黑尾叶蝉,Rice leafhopper
电光叶蝉,zig-zag winged leafhopper
白翅叶蝉,nan
稻赤斑沫蝉,nan
稻蓟马,Rice thrips
稻管蓟马,rice acu-leated thrips
稻筒水螟,nan
长翅稻蝗,nan
小麦秆黑粉病,Wheat flag smut
水稻负泥虫,rice leaf beetle
稻铁甲虫,paddy hispid
稻水象甲,rice water weevil
稻象甲,Rice weevils
福寿螺,Apple snail
稻水螟,small rice case-bearer
日本黄脊蝗,nan
长腿水叶甲,rice rootworm
菲岛毛眼水蝇,rice whorl maggot
二星蝽,white-spotted globular bug
长肩棘缘蝽,nan
小麦秆枯病,Wheat stem blight
小麦全蚀病,Wheat take-all
小麦炭疽病,Wheat anthracnose
小麦黑节病,Wheat black node
小麦白粉病,Wheat powdery mildew
小麦条锈病,Wheat stripe rust
小麦秆锈病,Wheat stem rust
小麦叶锈病,Wheat leaf rust
小麦纹枯病,Wheat sheath blight
小麦霜霉病,Wheat downy mildew
小麦雪霉叶枯病,Wheat speckled snow mold
小麦白秆病,Wheat white stem
小麦根腐病,Wheat common root rot
小麦蠕孢叶斑根腐病,nan
小麦赤霉病,Wheat head blight
小麦颖枯病,Wheat septoria nodorum blotch
小麦散黑穗病,Wheat loose smut
小麦红矮病,wheat red stunt
小麦斑枯病,Wheat leaf spot
小麦黄斑叶枯病,Wheat yellow leaf blotch
小麦链格孢叶枯病,Alternaria leaf blight of wheat
小麦腥黑穗病,Wheat common smut
小麦黑颖病,Wheat black chaff
小麦梭条斑花叶病,Wheat spindle streak mosaic
小麦土传花叶病毒病,Wheat soil—borne mosaic
小麦蜜穗病,Wheat spike blight
小麦麦角病,Wheat ergot
小麦灰霉病,Wheat  gray mold
小麦细菌性条斑病,Wheat bacterial leaf streak
小麦黄矮病,Wheat yellow dwarf
小麦蓝矮病毒病,Wheat blue dwarf
小麦丛矮病,Wheat rosette dwarf
小麦卷曲病,Wheat Dilophospora leaf spot
小麦粒线虫病,Wheat seed gall nematode
小麦禾谷胞囊线虫病,Wheat cereal cyst nematode
大麦麦角病,Barley ergot
大麦黄花叶病,Barley yellow mosaic
大麦白粉病,Barley powdery mildew
